xco,yco,ensemble,duration1_1980,duration1_2080,duration2_1980,duration2_2080,duration3_1980,duration3_2080,duration4_1980,duration4_2080,duration5_1980,duration5_2080,duration6_1980,duration6_2080,duration7_1980,duration7_2080,duration8_1980,duration8_2080,duration9_1980,duration9_2080
41,113,01,134371.0,131616.0,50647.0,49168.0,25850.0,25342.0,13913.0,13580.0,7828.0,7634.0,4458.0,4395.0,2618.0,2523.0,1515.0,1504.0,913.0,896.0
42,110,01,108066.0,105741.0,44248.0,43539.0,22209.0,21249.0,11983.0,11578.0,6823.0,6802.0,4144.0,4099.0,2630.0,2603.0,1754.0,1647.0,1137.0,1147.0
42,112,01,110296.0,102806.0,48535.0,44359.0,22907.0,21225.0,11703.0,10713.0,6224.0,6058.0,3760.0,3376.0,2213.0,2074.0,1362.0,1255.0,790.0,800.0
43,109,01,87604.0,86148.0,37682.0,36553.0,19074.0,18445.0,9956.0,9797.0,5603.0,5614.0,3303.0,3303.0,2055.0,2063.0,1283.0,1298.0,869.0,870.0
43,111,01,101807.0,99887.0,45817.0,44610.0,22360.0,21924.0,11851.0,11690.0,6766.0,6664.0,3958.0,3923.0,2420.0,2390.0,1558.0,1473.0,953.0,975.0
43,113,01,94778.0,97895.0,38910.0,40104.0,19806.0,20342.0,10723.0,11105.0,5909.0,6343.0,3598.0,3684.0,2144.0,2084.0,1288.0,1238.0,760.0,803.0
44,108,01,98391.0,94258.0,39649.0,38327.0,20181.0,19546.0,11005.0,10661.0,6374.0,6213.0,3988.0,3850.0,2407.0,2301.0,1524.0,1447.0,956.0,938.0
44,110,01,82285.0,80353.0,33784.0,33175.0,18790.0,18480.0,10789.0,10739.0,6244.0,6407.0,3754.0,3866.0,2362.0,2393.0,1424.0,1440.0,791.0,903.0
44,112,01,100454.0,100114.0,44210.0,43620.0,22218.0,22116.0,11578.0,11669.0,6510.0,6524.0,3713.0,3793.0,2177.0,2203.0,1356.0,1397.0,829.0,844.0
44,114,01,104262.0,99270.0,43364.0,40998.0,21733.0,20896.0,11951.0,11322.0,6879.0,6530.0,4026.0,3930.0,2623.0,2425.0,1656.0,1512.0,1022.0,1004.0
45,106,01,97955.0,88885.0,45460.0,40531.0,24238.0,21221.0,13164.0,11767.0,7613.0,6656.0,4457.0,3966.0,2695.0,2490.0,1712.0,1586.0,1119.0,969.0
45,108,01,98281.0,92488.0,42108.0,38733.0,21762.0,20313.0,12131.0,11189.0,7081.0,6416.0,4170.0,3835.0,2518.0,2442.0,1553.0,1499.0,979.0,920.0
45,110,01,87371.0,85729.0,39591.0,38017.0,19517.0,19048.0,10399.0,10150.0,5971.0,5723.0,3461.0,3368.0,2130.0,2033.0,1263.0,1298.0,836.0,765.0
45,112,01,101843.0,102040.0,41222.0,41866.0,20881.0,21340.0,10880.0,11295.0,6133.0,6392.0,3518.0,3583.0,2194.0,2184.0,1293.0,1294.0,826.0,847.0
45,114,01,97912.0,92454.0,41686.0,37882.0,21616.0,19499.0,11282.0,10540.0,6411.0,5885.0,3534.0,3344.0,2156.0,1972.0,1253.0,1219.0,807.0,739.0
45,116,01,80829.0,101369.0,32929.0,41939.0,17592.0,23172.0,9981.0,12870.0,5709.0,7368.0,3075.0,4126.0,1846.0,2399.0,1071.0,1460.0,697.0,918.0
45,118,01,95906.0,93602.0,38066.0,35979.0,21022.0,20303.0,11846.0,11481.0,6782.0,6656.0,3843.0,3731.0,2204.0,2170.0,1258.0,1257.0,766.0,779.0
46,107,01,96829.0,91781.0,42468.0,42981.0,21468.0,21694.0,11854.0,11985.0,6914.0,6950.0,4365.0,4407.0,2811.0,2898.0,1827.0,1860.0,1217.0,1291.0
46,109,01,94778.0,92999.0,42322.0,40714.0,20840.0,20678.0,10843.0,10740.0,6036.0,5978.0,3616.0,3681.0,2346.0,2283.0,1372.0,1561.0,894.0,958.0
46,111,01,99940.0,106459.0,43394.0,44713.0,22217.0,23537.0,12430.0,13103.0,7282.0,7643.0,4396.0,4569.0,2693.0,2890.0,1613.0,1739.0,998.0,1068.0
46,113,01,106975.0,116944.0,45751.0,50124.0,24724.0,26992.0,13320.0,15182.0,7813.0,8336.0,4504.0,4737.0,2742.0,2826.0,1598.0,1643.0,926.0,1012.0
46,115,01,94742.0,85162.0,39187.0,36450.0,20710.0,19870.0,11294.0,10725.0,6190.0,6142.0,3667.0,3467.0,1957.0,1992.0,1162.0,1165.0,658.0,662.0
46,117,01,93494.0,90972.0,37187.0,40209.0,19952.0,22427.0,10670.0,12791.0,5986.0,7169.0,3448.0,4187.0,1923.0,2303.0,1155.0,1423.0,629.0,802.0
47,106,01,83806.0,87891.0,36971.0,37347.0,18788.0,18985.0,10234.0,10446.0,5910.0,6142.0,3691.0,3752.0,2322.0,2350.0,1580.0,1484.0,994.0,950.0
47,108,01,94695.0,80757.0,41321.0,35506.0,20964.0,17887.0,11544.0,9793.0,6683.0,5886.0,3953.0,3628.0,2511.0,2300.0,1649.0,1467.0,1072.0,921.0
47,110,01,94909.0,111184.0,40648.0,45450.0,20844.0,23067.0,11013.0,12882.0,6301.0,7282.0,3819.0,4228.0,2290.0,2639.0,1422.0,1477.0,769.0,942.0
47,112,01,95946.0,82258.0,40396.0,34862.0,21311.0,18676.0,11834.0,10518.0,6952.0,5974.0,4110.0,3776.0,2521.0,2184.0,1433.0,1374.0,942.0,852.0
47,114,01,89304.0,95401.0,38140.0,39955.0,19648.0,21344.0,10702.0,11987.0,6150.0,6929.0,3417.0,3870.0,2011.0,2270.0,1203.0,1470.0,767.0,818.0
47,116,01,107969.0,90561.0,46617.0,42023.0,23760.0,22315.0,12877.0,12443.0,7434.0,7090.0,4199.0,4100.0,2579.0,2526.0,1548.0,1469.0,953.0,901.0
48,105,01,96311.0,88013.0,42004.0,37344.0,22076.0,20039.0,12330.0,11113.0,7082.0,6394.0,4118.0,3768.0,2489.0,2293.0,1513.0,1410.0,942.0,830.0
48,107,01,100078.0,87050.0,44612.0,38094.0,21954.0,18792.0,11861.0,10169.0,6836.0,5859.0,4243.0,3477.0,2632.0,2173.0,1692.0,1433.0,1109.0,954.0
48,109,01,91608.0,83410.0,40062.0,35265.0,20557.0,18406.0,11398.0,9997.0,6598.0,5874.0,3907.0,3516.0,2269.0,2104.0,1480.0,1351.0,901.0,834.0
48,111,01,88241.0,83825.0,39505.0,35625.0,20640.0,18277.0,11203.0,10200.0,6408.0,5694.0,3867.0,3396.0,2361.0,2193.0,1504.0,1318.0,931.0,904.0
