xco,yco,ensemble,tha1980,tha2020,tha2080
41,113,01,23.12476102460995,24.25637627109436,29.0844137136692
42,110,01,23.804184765725036,25.04678058945063,29.630949877019763
42,112,01,23.043057763683393,24.438035749145243,29.331470855775514
43,109,01,24.103217712070897,25.213034095606133,30.191177452646993
43,111,01,23.387820681543158,24.601498953911666,29.6228069263518
43,113,01,23.721983896365142,25.05273920787873,29.239065133865257
44,108,01,23.487799234625925,24.602202933204946,29.887058598828798
44,110,01,23.166105192254882,24.183606397896266,28.834213396237274
44,112,01,23.287818028862542,24.24519827745982,29.864692379413007
44,114,01,22.736659476169322,24.24509813516768,29.239851910836343
45,106,01,21.444263951458904,22.67064278830025,27.888904123065462
45,108,01,23.40494381959652,24.8545253650187,29.80481196820748
45,110,01,23.73241580642329,24.968206271103725,30.23707296141963
45,112,01,23.288064510801494,24.520041788112447,29.45299960928427
45,114,01,22.94464030348038,,29.045742602458173
45,116,01,23.23220511354634,,28.768404863241273
45,118,01,22.673272740395493,,28.797472167384736
46,107,01,23.35196118608708,,29.683592912779844
46,109,01,23.652674627857422,,29.96919015274839
46,111,01,23.129575818193018,,28.949309746815114
46,113,01,22.905691523553706,,28.494990011911895
46,115,01,22.7755239922072,,29.461723554056267
46,117,01,23.025235213029127,,29.575288717590826
47,106,01,23.62123076154961,,29.784902980606272
47,108,01,23.828440096436992,,30.519555414407808
47,110,01,23.73023090246318,,29.832785160852236
47,112,01,23.33226509347402,,30.092228619812808
47,114,01,23.347267956989125,,29.621744800761828
47,116,01,22.441987450876866,,29.29214592047294
48,105,01,23.881703591420088,,30.601033910439217
48,107,01,23.822881557960077,,30.59785796902716
48,109,01,23.661212319169504,,30.326218785529385
48,111,01,23.746630868459828,,30.369771016647643
48,113,01,23.655146998803268,,29.803139765456653
48,115,01,22.550317503386605,,29.05091335671505
48,117,01,23.218733918014863,,29.688252023193453
49,105,01,23.810187226997364,,30.60270483644888
49,107,01,23.886814615268232,,30.62141150500205
49,109,01,23.395944178059928,,29.357152290467113
49,111,01,23.44079862099306,,31.002678057499423
49,113,01,23.630387294877533,,29.422083785637316
49,115,01,22.749621273873633,,29.58023085150401
49,117,01,23.35985181708535,,30.32602406374985
50,104,01,24.644913400316202,,31.157875234677384
50,106,01,23.979724080477556,,30.93594844705118
50,108,01,24.090784926670178,,30.77922122718388
50,110,01,23.57755644976374,,30.099910959239338
50,112,01,23.501979542067424,,29.640155160807634
50,114,01,22.845786487839387,,28.807425410094112
50,116,01,23.852816662506054,,30.98575003164157
50,118,01,24.101568782495786,,30.14963187768492
50,120,01,24.395384017162375,,30.286200534144193
51,105,01,24.506780868558153,,30.66720347840692
51,107,01,23.549143894021473,,29.928506463750434
51,109,01,23.926969995818876,,30.571440602369545
51,111,01,22.484010119508273,,28.87401072921771
51,113,01,23.66416550743459,,29.923550584410297
51,115,01,23.542075299522295,,30.233430073961983
51,117,01,23.483185399895532,,29.267982183088847
51,119,01,23.1969952981511,,29.56523840847986
51,121,01,23.94442219057779,,30.27902513577325
52,104,01,24.65372609571395,,31.750511386938342
52,106,01,24.419619886168697,,31.151200950178076
52,108,01,22.907216738081097,,28.97192857365529
52,110,01,23.42955406332917,,29.8856303506096
52,112,01,22.933633786875333,,29.87645954289621
